home_team,away_team,Attendance,Date
Austria,France,37000,1982-06-28
Poland,Belgium,65000,1982-06-28
England,Kuwait,39700,1982-06-25
West Germany,Austria,41000,1982-06-25
Northern Ireland,Spain,49562,1982-06-25
France,Czechoslovakia,28000,1982-06-24
Algeria,Chile,16000,1982-06-24
Honduras,Yugoslavia,25000,1982-06-24
Italy,Cameroon,20000,1982-06-23
Argentina,El Salvador,32500,1982-06-23
Brazil,New Zealand,43000,1982-06-23
Poland,Peru,25000,1982-06-22
Belgium,Hungary,37000,1982-06-22
Soviet Union,Scotland,45000,1982-06-22
Algeria,Austria,22000,1982-06-21
France,Kuwait,30043,1982-06-21
Honduras,Northern Ireland,15000,1982-06-21
West Germany,Chile,42000,1982-06-20
England,Czechoslovakia,41123,1982-06-20
Spain,Yugoslavia,48000,1982-06-20
Poland,Cameroon,19000,1982-06-19
Soviet Union,New Zealand,19000,1982-06-19
Belgium,El Salvador,15000,1982-06-19
Italy,Peru,25000,1982-06-18
Brazil,Scotland,47379,1982-06-18
Argentina,Hungary,32093,1982-06-18
Chile,Austria,22500,1982-06-17
Czechoslovakia,Kuwait,25000,1982-06-17
Yugoslavia,Northern Ireland,25000,1982-06-17
England,France,44172,1982-06-16
West Germany,Algeria,42000,1982-06-16
Spain,Honduras,49562,1982-06-16
Peru,Cameroon,11000,1982-06-15
Hungary,El Salvador,23000,1982-06-15
Scotland,New Zealand,36000,1982-06-15
Italy,Poland,33000,1982-06-14
Brazil,Soviet Union,68000,1982-06-14
Argentina,Belgium,95000,1982-06-13
Argentina,Netherlands,71483,1978-06-25
Brazil,Italy,69659,1978-06-24
Netherlands,Italy,67433,1978-06-21
Austria,West Germany,38318,1978-06-21
Brazil,Poland,39586,1978-06-21
Argentina,Peru,37315,1978-06-21
Poland,Peru,35288,1978-06-18
West Germany,Netherlands,40750,1978-06-18
Italy,Austria,66695,1978-06-18
Argentina,Brazil,37326,1978-06-18
Netherlands,Austria,25050,1978-06-14
West Germany,Italy,67547,1978-06-14
Brazil,Peru,31278,1978-06-14
Argentina,Poland,37091,1978-06-14
Brazil,Austria,35221,1978-06-11
Spain,Sweden,42132,1978-06-11
Peru,IR Iran,21262,1978-06-11
Scotland,Netherlands,35130,1978-06-11
France,Hungary,23127,1978-06-10
Poland,Mexico,22651,1978-06-10
West Germany,Tunisia,30667,1978-06-10
Italy,Argentina,71712,1978-06-10
Austria,Sweden,41424,1978-06-07
Brazil,Spain,34771,1978-06-07
Netherlands,Peru,28125,1978-06-07
Scotland,IR Iran,7938,1978-06-07
Italy,Hungary,26533,1978-06-06
West Germany,Mexico,35258,1978-06-06
Poland,Tunisia,9624,1978-06-06
Argentina,France,71666,1978-06-06
Sweden,Brazil,32569,1978-06-03
Austria,Spain,40841,1978-06-03
Peru,Scotland,37927,1978-06-03
Netherlands,IR Iran,33431,1978-06-03
Italy,France,42373,1978-06-02
Tunisia,Mexico,17396,1978-06-02
